audio_path,label
../raw/FLEURS/FLEURS_vi_vn/audio/train/5552984899602085394.wav,kể từ khi con người đặt chân đến galapagos rất nhiều động vật có vú đã được mang tới như dê ngựa bò chuột mèo và chó
../raw/FLEURS/FLEURS_vi_vn/audio/train/3829295833629573042.wav,năm 1624 công ty đông ấn của hà lan lập căn cứ tại miền tây nam đài loan bắt đầu làm thay đổi tập quán canh tác ngũ cốc của người dân địa phương và thuê công nhân người hoa làm việc trên các ruộng lúa và đồn điền mía đường của họ
../raw/FLEURS/FLEURS_vi_vn/audio/train/3827522345514111687.wav,quản trị viên của commons là adam cuerden biểu lộ sự thất vọng về việc xóa bỏ khi trao đổi với wikinews tháng trước
../raw/FLEURS/FLEURS_vi_vn/audio/train/11557586889725222904.wav,trong thỏa thuận cho-nhận con nuôi cha mẹ ruột chấm dứt các quyền của cha mẹ để một cặp vợ chồng khác có thể nuôi dạy con của họ
../raw/FLEURS/FLEURS_vi_vn/audio/train/16246131172101880903.wav,trong lịch sử hầu hết nông dân đều làm theo hình thức nông nghiệp tự cung tự cấp điều này vẫn đang diễn ra ở nhiều nước đang phát triển
../raw/FLEURS/FLEURS_vi_vn/audio/train/4169487281379568752.wav,mỗi ngôi đền đều có khu vực sân đền bên ngoài và bên trong là nhà thờ mà chỉ linh mục mới có quyền bước vào
../raw/FLEURS/FLEURS_vi_vn/audio/train/421189726355139618.wav,trong vòng 3 tháng qua đã có hơn 80 người bị bắt được thả ra khỏi trụ sở của central booking và không bị buộc tội chính thức
../raw/FLEURS/FLEURS_vi_vn/audio/train/290126210639258193.wav,tổ tiên của họ người vượn australopithecus không có dáng đi thẳng
../raw/FLEURS/FLEURS_vi_vn/audio/train/12673436929792570655.wav,truyền thông địa phương đưa tin một phương tiện chữa cháy sân bay đã tới khi trả lời
../raw/FLEURS/FLEURS_vi_vn/audio/train/9946899424737278280.wav,họ cũng có thể giữ chỗ cho bạn nếu bạn cần thời gian để cân nhắc về thư mời làm việc hoặc xử lý các tài liệu khác liên quan đến điểm đến của mình thí dụ như visa
../raw/FLEURS/FLEURS_vi_vn/audio/train/4177730469436246922.wav,ủy viên công thương của liên minh châu phi albert muchanga thông báo benin dự kiến tham gia
../raw/FLEURS/FLEURS_vi_vn/audio/train/1635021945136386009.wav,tập đoàn virgin của ngài richard branson đã bị từ chối một bản đấu giá cho ngân hàng trước khi ngân hàng bị quốc hữu hóa
../raw/FLEURS/FLEURS_vi_vn/audio/train/13176114849518985455.wav,đối với một số người hiểu biết đôi điều về cách thức hoạt động của máy bay cũng như những vấn đề xảy ra trong một chuyến bay có thể giúp họ vượt qua nỗi sợ do không có thông tin hoặc không kiểm soát được bản thân
../raw/FLEURS/FLEURS_vi_vn/audio/train/12629475317532663101.wav,maroochydore sau đó đã đánh bại caboolture trong trận chung kết sơ bộ
